rule	status	action	surface	reading	target_or_allowed	baseline_expected_matches	source_before	target_before	missing_targets	matched	removed	added	skipped_existing	detail	note
1	APPLIED	KEEP_ONLY	ダッカ襲撃テロ事件		だっかしゅうげきてろじけん	28	28	1		28	28	0	0	基準時と同じ非許可読みを削除します。	検索用の長い別名を厳密変換辞書から除外
2	APPLIED	KEEP_ONLY	岩手県立花巻南高等学校		いわてけんりつはなまきみなみこうとうがっこう	2	2	1		2	2	0	0	基準時と同じ非許可読みを削除します。	ユーザー指定の完全読みだけを残す
3	APPLIED	KEEP_ONLY	情報弱者向けビジネス		じょうほうじゃくしゃむけびじねす	2	2	1		2	2	0	0	基準時と同じ非許可読みを削除します。	ユーザー指定の完全読みだけを残す
4	APPLIED	DELETE	新居	あらいあらい		1	1	0		1	1	0	0	基準時と同じ補正元を処理します。	連結誤読を削除
5	APPLIED	DELETE	厚木	あつぎあつき		1	1	0		1	1	0	0	基準時と同じ補正元を処理します。	複数読みの連結を削除
6	APPLIED	DELETE	野方	のかたのがた		1	1	0		1	1	0	0	基準時と同じ補正元を処理します。	複数読みの連結を削除
7	APPLIED	DELETE	万歳	ばんざあーい		1	1	0		1	1	0	0	基準時と同じ補正元を処理します。	過剰な長音表現を削除
8	APPLIED	DELETE	全部	ぜえーんぶ		1	1	0		1	1	0	0	基準時と同じ補正元を処理します。	過剰な長音表現を削除
9	APPLIED	DELETE	安倍内閣	あべしんぞうないかく		1	1	0		1	1	0	0	基準時と同じ補正元を処理します。	人名混入の誤読を削除
10	APPLIED	DELETE	廿日市市役所前駅	はつかいちしやくしょまえへらえき		1	1	0		1	1	0	0	基準時と同じ補正元を処理します。	へら混入の誤読を削除
11	APPLIED	DELETE	強迫観念	きょうはくてきかんねん		1	1	0		1	1	0	0	基準時と同じ補正元を処理します。	表記にない「的」を含む読みを削除
12	APPLIED	DELETE	本当	ほんっっと		1	1	0		1	1	0	0	基準時と同じ補正元を処理します。	過剰な促音表現を削除
13	APPLIED	DELETE	秋鹿町駅	あいかまちえきえき		1	1	0		1	1	0	0	基準時と同じ補正元を処理します。	駅の重複を削除
14	APPLIED	DELETE	辺野古違法確認訴訟	へのこめぐるいほうかくにんそしょう		1	1	0		1	1	0	0	基準時と同じ補正元を処理します。	検索別名的な読みを削除
15	APPLIED	DELETE	平良	たいらりょう		1	1	0		1	1	0	0	基準時と同じ補正元を処理します。	別名要素が連結した読みを削除
16	APPLIED	DELETE	渡部建	あんじゃっしゅわたなべ		1	1	0		1	1	0	0	基準時と同じ補正元を処理します。	所属名と誤った姓読みを含む別名を削除
17	APPLIED	SPLIT	矢川	やかわやがわ	やかわ|やがわ -> 矢川	1	1	1	やかわ -> 矢川	1	1	1	1	基準時と同じ補正元を処理します。	連結を削除し、やかわ・やがわを別々に残す
18	APPLIED	SPLIT	月田	つきだつきた	つきだ|つきた -> 月田	1	1	1	つきた -> 月田	1	1	1	1	基準時と同じ補正元を処理します。	連結を削除し、つきだ・つきたを別々に残す
19	APPLIED	SPLIT	淡路	あわじあはぢ	あわじ|あはぢ -> 淡路	1	1	1	あはぢ -> 淡路	1	1	1	1	基準時と同じ補正元を処理します。	連結を削除し、現代仮名・歴史的仮名を別々に残す
20	APPLIED	SPLIT	駅家	えきかうまや	えきか|うまや -> 駅家	1	1	1	うまや -> 駅家	1	1	1	1	基準時と同じ補正元を処理します。	連結を削除し、えきか・うまやを別々に残す
